user,created_at,latitude,longitude,text
thechronicleapp,Mon Mar 13 20:56:36 +0000 2017,,,"'Who's ready for Snow Storm Stella?⛄️❄️
From the #NYU chronicle
Photo by Kevin Jiang 01.31.2017 
#blizzard2017… https://t.co/Pn46yvVfOa'"
laurenlash0521,Mon Mar 13 20:42:38 +0000 2017,,,'when NYU already announces a snow day but you know you have to work anyway 🙃 snow is really testing me in 2017...'
javier_lopez1,Mon Mar 13 20:20:50 +0000 2017,40.84245,-73.94335,'Man bun triforce @ Columbia Public Health https://t.co/olZRYypbC8'
CRFRiverkeeper,Mon Mar 13 20:11:48 +0000 2017,40.80675,-73.96048,'At Columbia University Law School for the 2017 Institute for Energy Economics and Financial… https://t.co/TqURBivagR'
tmj_nyc_nursing,Mon Mar 13 20:10:35 +0000 2017,40.6781784,-73.9441579,"'This #job might be a great fit for you: Hospice Liaison, RN (NYU Lutheran) - https://t.co/LdsweDSh3O #Nursing #NewYork, NY #Hiring'"
York24PR,Mon Mar 13 19:55:49 +0000 2017,40.73453948,-73.98302599,'#NYC #NewYorkCity #Manhattan #IgersOfNYC #ImagesOfNYC #InstaGramNYC #pictureNYC @ Nyu Hospital… https://t.co/sQULbiiNYd'
dcorreab,Mon Mar 13 19:42:00 +0000 2017,,,'The 2017 Collegiate Traffic Bowl &amp; Research Symposium will be held on March 23 at NYU Tandon School of Engineering https://t.co/XVhJNaHKXX'
WEAI_Columbia,Mon Mar 13 19:41:18 +0000 2017,,,'Please visit @WEAI_Columbia at Booth 407 at the @AASAsianStudies Conference in #Toronto. Exhibition Hall open March… https://t.co/Orbr1f5snQ'
WEAI_Columbia,Mon Mar 13 18:50:48 +0000 2017,,,"'THURS, 3/23: “The #Politics of #Religion in Postwar #Japanese Public #School #Education"" w/ @Penn's Jolyon Thomas.… https://t.co/9EU104YiOY'"
WEAI_Columbia,Mon Mar 13 18:50:13 +0000 2017,,,"'WEDS, 3/22: “#Trump’s #Asia Policy: The View from D.C.” w/ @AEI's Michael Auslin. Moderated by Andrew Nathan. 12 PM… https://t.co/9nXfRtAigb'"
